Value	R           	G           	B           	
1    	0.2753118654	0.3342939481	0.0734506503	
2    	0.0533797505	0.1080691643	0.0512624331	
3    	0.0069625762	0.0096061479	0.0038255547	
4    	0.0008703220	0.0004803074	0.0011476664	
5    	0.0011604294	0.0007204611	0.0000000000	
6    	0.0000000000	0.0002401537	0.0000000000	
7    	0.0002901073	0.0000000000	0.0000000000	
8    	0.0000000000	0.0000000000	0.0003825555	
9    	0.0002901073	0.0000000000	0.0000000000	
10   	0.0000000000	0.0000000000	0.0003825555	
11   	0.0002901073	0.0002401537	0.0000000000	
12   	0.0000000000	0.0000000000	0.0003825555	
13   	0.0000000000	0.0002401537	0.0000000000	
14   	0.0002901073	0.0000000000	0.0000000000	
15   	0.0000000000	0.0000000000	0.0011476664	
16   	0.0000000000	0.0000000000	0.0068859985	
17   	0.0000000000	0.0000000000	0.0175975516	
18   	0.0000000000	0.0000000000	0.0474368783	
19   	0.0000000000	0.0002401537	0.0577658761	
20   	0.0000000000	0.0000000000	0.0482019893	
21   	0.0000000000	0.0000000000	0.0451415455	
22   	0.0002901073	0.0000000000	0.0367253252	
23   	0.0000000000	0.0002401537	0.0340474369	
24   	0.0000000000	0.0000000000	0.0340474369	
25   	0.0002901073	0.0000000000	0.0202754399	
26   	0.0000000000	0.0004803074	0.0172149962	
27   	0.0000000000	0.0002401537	0.0168324407	
28   	0.0000000000	0.0031219981	0.0183626626	
29   	0.0000000000	0.0033621518	0.0237184392	
30   	0.0000000000	0.0057636888	0.0244835501	
31   	0.0000000000	0.0036023055	0.0202754399	
32   	0.0000000000	0.0074447646	0.0168324407	
33   	0.0000000000	0.0074447646	0.0168324407	
34   	0.0000000000	0.0103266090	0.0202754399	
35   	0.0000000000	0.0117675312	0.0214231064	
36   	0.0000000000	0.0218539866	0.0374904361	
37   	0.0000000000	0.0172910663	0.0680948738	
38   	0.0000000000	0.0163304515	0.0646518745	
39   	0.0000000000	0.0103266090	0.0638867636	
40   	0.0002901073	0.0127281460	0.0386381025	
41   	0.0000000000	0.0105667627	0.0283091048	
42   	0.0002901073	0.0115273775	0.0107115532	
43   	0.0000000000	0.0136887608	0.0072685539	
44   	0.0000000000	0.0134486071	0.0026778883	
45   	0.0000000000	0.0175312200	0.0011476664	
46   	0.0000000000	0.0170509126	0.0000000000	
47   	0.0000000000	0.0115273775	0.0003825555	
48   	0.0000000000	0.0064841499	0.0000000000	
49   	0.0000000000	0.0055235351	0.0000000000	
50   	0.0000000000	0.0055235351	0.0000000000	
51   	0.0000000000	0.0045629203	0.0000000000	
52   	0.0000000000	0.0062439962	0.0000000000	
53   	0.0000000000	0.0064841499	0.0000000000	
54   	0.0000000000	0.0112872238	0.0000000000	
55   	0.0000000000	0.0100864553	0.0000000000	
56   	0.0000000000	0.0096061479	0.0000000000	
57   	0.0000000000	0.0098463016	0.0000000000	
58   	0.0000000000	0.0124879923	0.0000000000	
59   	0.0002901073	0.0146493756	0.0000000000	
60   	0.0000000000	0.0117675312	0.0000000000	
61   	0.0000000000	0.0153698367	0.0000000000	
62   	0.0002901073	0.0175312200	0.0000000000	
63   	0.0000000000	0.0204130644	0.0000000000	
64   	0.0000000000	0.0232949087	0.0000000000	
65   	0.0000000000	0.0160902978	0.0000000000	
66   	0.0000000000	0.0151296830	0.0000000000	
67   	0.0000000000	0.0158501441	0.0000000000	
68   	0.0000000000	0.0194524496	0.0000000000	
69   	0.0000000000	0.0213736792	0.0000000000	
70   	0.0000000000	0.0108069164	0.0000000000	
71   	0.0000000000	0.0057636888	0.0000000000	
72   	0.0000000000	0.0072046110	0.0000000000	
73   	0.0000000000	0.0048030740	0.0000000000	
74   	0.0000000000	0.0026416907	0.0000000000	
75   	0.0002901073	0.0028818444	0.0000000000	
76   	0.0000000000	0.0016810759	0.0000000000	
77   	0.0000000000	0.0014409222	0.0000000000	
78   	0.0000000000	0.0016810759	0.0000000000	
79   	0.0000000000	0.0000000000	0.0000000000	
80   	0.0002901073	0.0000000000	0.0000000000	
81   	0.0000000000	0.0000000000	0.0000000000	
82   	0.0000000000	0.0000000000	0.0000000000	
83   	0.0000000000	0.0000000000	0.0000000000	
84   	0.0000000000	0.0000000000	0.0000000000	
85   	0.0000000000	0.0000000000	0.0000000000	
86   	0.0000000000	0.0000000000	0.0000000000	
87   	0.0000000000	0.0000000000	0.0000000000	
88   	0.0002901073	0.0000000000	0.0000000000	
89   	0.0000000000	0.0000000000	0.0000000000	
90   	0.0000000000	0.0000000000	0.0000000000	
91   	0.0000000000	0.0000000000	0.0000000000	
92   	0.0000000000	0.0000000000	0.0000000000	
93   	0.0000000000	0.0000000000	0.0000000000	
94   	0.0000000000	0.0000000000	0.0000000000	
95   	0.0000000000	0.0000000000	0.0000000000	
96   	0.0000000000	0.0000000000	0.0000000000	
97   	0.0000000000	0.0000000000	0.0000000000	
98   	0.0002901073	0.0000000000	0.0000000000	
99   	0.0002901073	0.0000000000	0.0000000000	
100  	0.0000000000	0.0000000000	0.0000000000	
101  	0.0002901073	0.0000000000	0.0000000000	
102  	0.0005802147	0.0000000000	0.0000000000	
103  	0.0037713954	0.0000000000	0.0000000000	
104  	0.0026109661	0.0000000000	0.0000000000	
105  	0.0031911807	0.0000000000	0.0000000000	
106  	0.0023208587	0.0000000000	0.0000000000	
107  	0.0017406440	0.0000000000	0.0000000000	
108  	0.0055120395	0.0000000000	0.0000000000	
109  	0.0008703220	0.0000000000	0.0000000000	
110  	0.0002901073	0.0000000000	0.0000000000	
111  	0.0005802147	0.0000000000	0.0000000000	
112  	0.0002901073	0.0000000000	0.0000000000	
113  	0.0011604294	0.0000000000	0.0000000000	
114  	0.0002901073	0.0000000000	0.0000000000	
115  	0.0000000000	0.0000000000	0.0000000000	
116  	0.0005802147	0.0000000000	0.0000000000	
117  	0.0005802147	0.0000000000	0.0000000000	
118  	0.0000000000	0.0000000000	0.0000000000	
119  	0.0005802147	0.0000000000	0.0000000000	
120  	0.0020307514	0.0000000000	0.0000000000	
121  	0.0008703220	0.0000000000	0.0000000000	
122  	0.0005802147	0.0000000000	0.0000000000	
123  	0.0005802147	0.0000000000	0.0000000000	
124  	0.0014505367	0.0000000000	0.0000000000	
125  	0.0017406440	0.0000000000	0.0000000000	
126  	0.0017406440	0.0000000000	0.0000000000	
127  	0.0043516101	0.0000000000	0.0000000000	
128  	0.0017406440	0.0000000000	0.0000000000	
129  	0.0037713954	0.0000000000	0.0000000000	
130  	0.0014505367	0.0000000000	0.0000000000	
131  	0.0008703220	0.0000000000	0.0000000000	
132  	0.0020307514	0.0000000000	0.0000000000	
133  	0.0020307514	0.0000000000	0.0000000000	
134  	0.0014505367	0.0000000000	0.0000000000	
135  	0.0020307514	0.0000000000	0.0000000000	
136  	0.0020307514	0.0000000000	0.0000000000	
137  	0.0023208587	0.0000000000	0.0000000000	
138  	0.0055120395	0.0000000000	0.0000000000	
139  	0.0031911807	0.0000000000	0.0000000000	
140  	0.0000000000	0.0000000000	0.0000000000	
141  	0.0000000000	0.0000000000	0.0000000000	
142  	0.0002901073	0.0000000000	0.0000000000	
143  	0.0011604294	0.0000000000	0.0000000000	
144  	0.0034812881	0.0000000000	0.0000000000	
145  	0.0060922541	0.0000000000	0.0000000000	
146  	0.0037713954	0.0000000000	0.0000000000	
147  	0.0072526835	0.0000000000	0.0000000000	
148  	0.0069625762	0.0000000000	0.0000000000	
149  	0.0063823615	0.0000000000	0.0000000000	
150  	0.0020307514	0.0000000000	0.0000000000	
151  	0.0014505367	0.0000000000	0.0000000000	
152  	0.0023208587	0.0000000000	0.0000000000	
153  	0.0055120395	0.0000000000	0.0000000000	
154  	0.0058021468	0.0000000000	0.0000000000	
155  	0.0075427908	0.0000000000	0.0000000000	
156  	0.0072526835	0.0000000000	0.0000000000	
157  	0.0049318248	0.0000000000	0.0000000000	
158  	0.0089933275	0.0000000000	0.0000000000	
