Value	R           	G           	B           	
1    	0.2616173808	0.3329984932	0.0771569745	
2    	0.0458660229	0.0863887494	0.0505511212	
3    	0.0036210018	0.0082872928	0.0068415051	
4    	0.0003017502	0.0007533903	0.0019004181	
5    	0.0006035003	0.0002511301	0.0003800836	
6    	0.0003017502	0.0002511301	0.0000000000	
7    	0.0000000000	0.0000000000	0.0000000000	
8    	0.0003017502	0.0005022602	0.0003800836	
9    	0.0000000000	0.0000000000	0.0000000000	
10   	0.0003017502	0.0000000000	0.0003800836	
11   	0.0000000000	0.0000000000	0.0000000000	
12   	0.0000000000	0.0000000000	0.0003800836	
13   	0.0000000000	0.0000000000	0.0041809198	
14   	0.0000000000	0.0002511301	0.0053211707	
15   	0.0000000000	0.0000000000	0.0102622577	
16   	0.0003017502	0.0002511301	0.0136830103	
17   	0.0000000000	0.0002511301	0.0190041809	
18   	0.0000000000	0.0000000000	0.0182440137	
19   	0.0000000000	0.0000000000	0.0258456861	
20   	0.0000000000	0.0000000000	0.0361079437	
21   	0.0000000000	0.0000000000	0.0387685291	
22   	0.0000000000	0.0002511301	0.0345876093	
23   	0.0003017502	0.0000000000	0.0361079437	
24   	0.0000000000	0.0002511301	0.0285062714	
25   	0.0003017502	0.0000000000	0.0368681110	
26   	0.0000000000	0.0000000000	0.0285062714	
27   	0.0000000000	0.0015067805	0.0361079437	
28   	0.0000000000	0.0027624309	0.0380083618	
29   	0.0000000000	0.0035158212	0.0368681110	
30   	0.0000000000	0.0037669513	0.0452299506	
31   	0.0000000000	0.0025113009	0.0482706195	
32   	0.0000000000	0.0037669513	0.0665146332	
33   	0.0000000000	0.0060271220	0.0748764728	
34   	0.0000000000	0.0118031140	0.0684150513	
35   	0.0000000000	0.0180813661	0.0520714557	
36   	0.0000000000	0.0316423908	0.0349676929	
37   	0.0000000000	0.0215971873	0.0159635120	
38   	0.0000000000	0.0238573581	0.0064614215	
39   	0.0000000000	0.0168257157	0.0015203345	
40   	0.0000000000	0.0085384229	0.0003800836	
41   	0.0003017502	0.0123053742	0.0000000000	
42   	0.0000000000	0.0170768458	0.0000000000	
43   	0.0000000000	0.0173279759	0.0000000000	
44   	0.0000000000	0.0128076344	0.0000000000	
45   	0.0000000000	0.0155700653	0.0000000000	
46   	0.0000000000	0.0123053742	0.0000000000	
47   	0.0000000000	0.0130587644	0.0000000000	
48   	0.0000000000	0.0148166750	0.0000000000	
49   	0.0000000000	0.0123053742	0.0000000000	
50   	0.0000000000	0.0283776996	0.0000000000	
51   	0.0000000000	0.0236062280	0.0000000000	
52   	0.0000000000	0.0233550979	0.0000000000	
53   	0.0003017502	0.0306378704	0.0000000000	
54   	0.0000000000	0.0344048217	0.0000000000	
55   	0.0000000000	0.0406830738	0.0000000000	
56   	0.0000000000	0.0401808137	0.0000000000	
57   	0.0000000000	0.0296333501	0.0000000000	
58   	0.0003017502	0.0185836263	0.0000000000	
59   	0.0000000000	0.0077850326	0.0000000000	
60   	0.0000000000	0.0032646911	0.0000000000	
61   	0.0000000000	0.0040180814	0.0000000000	
62   	0.0000000000	0.0007533903	0.0000000000	
63   	0.0000000000	0.0000000000	0.0000000000	
64   	0.0000000000	0.0000000000	0.0000000000	
65   	0.0000000000	0.0000000000	0.0000000000	
66   	0.0000000000	0.0000000000	0.0000000000	
67   	0.0000000000	0.0000000000	0.0000000000	
68   	0.0000000000	0.0000000000	0.0000000000	
69   	0.0000000000	0.0000000000	0.0000000000	
70   	0.0000000000	0.0000000000	0.0000000000	
71   	0.0000000000	0.0000000000	0.0000000000	
72   	0.0000000000	0.0000000000	0.0000000000	
73   	0.0000000000	0.0000000000	0.0000000000	
74   	0.0000000000	0.0000000000	0.0000000000	
75   	0.0000000000	0.0000000000	0.0000000000	
76   	0.0000000000	0.0000000000	0.0000000000	
77   	0.0000000000	0.0000000000	0.0000000000	
78   	0.0000000000	0.0000000000	0.0000000000	
79   	0.0000000000	0.0000000000	0.0000000000	
80   	0.0006035003	0.0000000000	0.0000000000	
81   	0.0000000000	0.0000000000	0.0000000000	
82   	0.0000000000	0.0000000000	0.0000000000	
83   	0.0000000000	0.0000000000	0.0000000000	
84   	0.0000000000	0.0000000000	0.0000000000	
85   	0.0000000000	0.0000000000	0.0000000000	
86   	0.0000000000	0.0000000000	0.0000000000	
87   	0.0000000000	0.0000000000	0.0000000000	
88   	0.0000000000	0.0000000000	0.0000000000	
89   	0.0000000000	0.0000000000	0.0000000000	
90   	0.0000000000	0.0000000000	0.0000000000	
91   	0.0000000000	0.0000000000	0.0000000000	
92   	0.0000000000	0.0000000000	0.0000000000	
93   	0.0000000000	0.0000000000	0.0000000000	
94   	0.0000000000	0.0000000000	0.0000000000	
95   	0.0000000000	0.0000000000	0.0000000000	
96   	0.0000000000	0.0000000000	0.0000000000	
