Value	R           	G           	B           	
1    	0.2498519834	0.3631883437	0.0422592442	
2    	0.0600947306	0.1399185772	0.0296627387	
3    	0.0139135583	0.0092136276	0.0036570500	
4    	0.0005920663	0.0002142704	0.0004063389	
5    	0.0000000000	0.0000000000	0.0000000000	
6    	0.0002960332	0.0000000000	0.0012190167	
7    	0.0000000000	0.0000000000	0.0008126778	
8    	0.0000000000	0.0002142704	0.0048760666	
9    	0.0000000000	0.0002142704	0.0195042666	
10   	0.0002960332	0.0000000000	0.0239739943	
11   	0.0000000000	0.0000000000	0.0349451443	
12   	0.0002960332	0.0000000000	0.0410402275	
13   	0.0000000000	0.0002142704	0.0524177164	
14   	0.0000000000	0.0000000000	0.0499796831	
15   	0.0000000000	0.0004285408	0.0471353108	
16   	0.0000000000	0.0002142704	0.0548557497	
17   	0.0000000000	0.0047139490	0.0666395774	
18   	0.0002960332	0.0072851939	0.0637952052	
19   	0.0000000000	0.0083565460	0.0617635108	
20   	0.0000000000	0.0107135205	0.0511986997	
21   	0.0000000000	0.0094278980	0.0487606664	
22   	0.0000000000	0.0100707092	0.0467289720	
23   	0.0000000000	0.0087850868	0.0568874441	
24   	0.0002960332	0.0113563317	0.0520113775	
25   	0.0000000000	0.0128562246	0.0503860219	
26   	0.0000000000	0.0141418470	0.0394148720	
27   	0.0000000000	0.0128562246	0.0353514831	
28   	0.0000000000	0.0207842297	0.0134091833	
29   	0.0000000000	0.0188557960	0.0052824055	
30   	0.0002960332	0.0212127705	0.0012190167	
31   	0.0000000000	0.0222841226	0.0000000000	
32   	0.0000000000	0.0188557960	0.0000000000	
33   	0.0000000000	0.0220698522	0.0000000000	
34   	0.0000000000	0.0192843368	0.0000000000	
35   	0.0000000000	0.0152131991	0.0000000000	
36   	0.0000000000	0.0190700664	0.0000000000	
37   	0.0000000000	0.0154274695	0.0000000000	
38   	0.0000000000	0.0171416327	0.0000000000	
39   	0.0000000000	0.0137133062	0.0000000000	
40   	0.0000000000	0.0130704950	0.0000000000	
41   	0.0000000000	0.0122134133	0.0000000000	
42   	0.0000000000	0.0167130919	0.0000000000	
43   	0.0000000000	0.0134990358	0.0000000000	
44   	0.0000000000	0.0152131991	0.0000000000	
45   	0.0000000000	0.0077137347	0.0000000000	
46   	0.0002960332	0.0162845511	0.0000000000	
47   	0.0002960332	0.0192843368	0.0000000000	
48   	0.0000000000	0.0190700664	0.0000000000	
49   	0.0000000000	0.0132847654	0.0000000000	
50   	0.0000000000	0.0040711378	0.0000000000	
51   	0.0000000000	0.0010713520	0.0000000000	
52   	0.0000000000	0.0000000000	0.0000000000	
53   	0.0000000000	0.0000000000	0.0000000000	
54   	0.0000000000	0.0000000000	0.0000000000	
55   	0.0000000000	0.0000000000	0.0000000000	
56   	0.0000000000	0.0000000000	0.0000000000	
57   	0.0000000000	0.0000000000	0.0000000000	
58   	0.0000000000	0.0000000000	0.0000000000	
59   	0.0000000000	0.0000000000	0.0000000000	
60   	0.0000000000	0.0000000000	0.0000000000	
61   	0.0000000000	0.0000000000	0.0000000000	
62   	0.0000000000	0.0000000000	0.0000000000	
63   	0.0000000000	0.0000000000	0.0000000000	
64   	0.0000000000	0.0000000000	0.0000000000	
65   	0.0002960332	0.0000000000	0.0000000000	
66   	0.0000000000	0.0000000000	0.0000000000	
67   	0.0000000000	0.0000000000	0.0000000000	
68   	0.0000000000	0.0000000000	0.0000000000	
69   	0.0000000000	0.0000000000	0.0000000000	
70   	0.0000000000	0.0000000000	0.0000000000	
71   	0.0000000000	0.0000000000	0.0000000000	
72   	0.0000000000	0.0000000000	0.0000000000	
73   	0.0000000000	0.0000000000	0.0000000000	
74   	0.0000000000	0.0000000000	0.0000000000	
75   	0.0002960332	0.0000000000	0.0000000000	
76   	0.0000000000	0.0000000000	0.0000000000	
77   	0.0000000000	0.0000000000	0.0000000000	
78   	0.0000000000	0.0000000000	0.0000000000	
79   	0.0000000000	0.0000000000	0.0000000000	
80   	0.0000000000	0.0000000000	0.0000000000	
81   	0.0000000000	0.0000000000	0.0000000000	
82   	0.0000000000	0.0000000000	0.0000000000	
83   	0.0000000000	0.0000000000	0.0000000000	
84   	0.0000000000	0.0000000000	0.0000000000	
85   	0.0000000000	0.0000000000	0.0000000000	
86   	0.0002960332	0.0000000000	0.0000000000	
87   	0.0000000000	0.0000000000	0.0000000000	
88   	0.0000000000	0.0000000000	0.0000000000	
89   	0.0000000000	0.0000000000	0.0000000000	
90   	0.0000000000	0.0000000000	0.0000000000	
91   	0.0000000000	0.0000000000	0.0000000000	
92   	0.0000000000	0.0000000000	0.0000000000	
93   	0.0000000000	0.0000000000	0.0000000000	
94   	0.0000000000	0.0000000000	0.0000000000	
95   	0.0000000000	0.0000000000	0.0000000000	
96   	0.0000000000	0.0000000000	0.0000000000	
97   	0.0000000000	0.0000000000	0.0000000000	
98   	0.0005920663	0.0000000000	0.0000000000	
99   	0.0000000000	0.0000000000	0.0000000000	
100  	0.0000000000	0.0000000000	0.0000000000	
101  	0.0000000000	0.0000000000	0.0000000000	
102  	0.0000000000	0.0000000000	0.0000000000	
103  	0.0000000000	0.0000000000	0.0000000000	
104  	0.0000000000	0.0000000000	0.0000000000	
105  	0.0000000000	0.0000000000	0.0000000000	
106  	0.0002960332	0.0000000000	0.0000000000	
107  	0.0017761989	0.0000000000	0.0000000000	
108  	0.0002960332	0.0000000000	0.0000000000	
109  	0.0002960332	0.0000000000	0.0000000000	
110  	0.0005920663	0.0000000000	0.0000000000	
111  	0.0002960332	0.0000000000	0.0000000000	
112  	0.0023682652	0.0000000000	0.0000000000	
113  	0.0005920663	0.0000000000	0.0000000000	
114  	0.0000000000	0.0000000000	0.0000000000	
115  	0.0014801658	0.0000000000	0.0000000000	
116  	0.0017761989	0.0000000000	0.0000000000	
117  	0.0008880995	0.0000000000	0.0000000000	
118  	0.0020722321	0.0000000000	0.0000000000	
119  	0.0020722321	0.0000000000	0.0000000000	
120  	0.0050325636	0.0000000000	0.0000000000	
121  	0.0038484310	0.0000000000	0.0000000000	
122  	0.0041444642	0.0000000000	0.0000000000	
123  	0.0014801658	0.0000000000	0.0000000000	
124  	0.0017761989	0.0000000000	0.0000000000	
125  	0.0000000000	0.0000000000	0.0000000000	
126  	0.0000000000	0.0000000000	0.0000000000	
127  	0.0000000000	0.0000000000	0.0000000000	
128  	0.0011841326	0.0000000000	0.0000000000	
129  	0.0011841326	0.0000000000	0.0000000000	
130  	0.0005920663	0.0000000000	0.0000000000	
131  	0.0008880995	0.0000000000	0.0000000000	
132  	0.0005920663	0.0000000000	0.0000000000	
133  	0.0000000000	0.0000000000	0.0000000000	
134  	0.0005920663	0.0000000000	0.0000000000	
135  	0.0002960332	0.0000000000	0.0000000000	
136  	0.0029603316	0.0000000000	0.0000000000	
137  	0.0029603316	0.0000000000	0.0000000000	
138  	0.0074008289	0.0000000000	0.0000000000	
139  	0.0085849615	0.0000000000	0.0000000000	
140  	0.0062166963	0.0000000000	0.0000000000	
141  	0.0047365305	0.0000000000	0.0000000000	
142  	0.0056246300	0.0000000000	0.0000000000	
143  	0.0053285968	0.0000000000	0.0000000000	
144  	0.0035523979	0.0000000000	0.0000000000	
145  	0.0032563647	0.0000000000	0.0000000000	
146  	0.0047365305	0.0000000000	0.0000000000	
147  	0.0041444642	0.0000000000	0.0000000000	
148  	0.0035523979	0.0000000000	0.0000000000	
149  	0.0020722321	0.0000000000	0.0000000000	
150  	0.0029603316	0.0000000000	0.0000000000	
151  	0.0032563647	0.0000000000	0.0000000000	
152  	0.0032563647	0.0000000000	0.0000000000	
153  	0.0044404973	0.0000000000	0.0000000000	
154  	0.0056246300	0.0000000000	0.0000000000	
155  	0.0097690941	0.0000000000	0.0000000000	
156  	0.0050325636	0.0000000000	0.0000000000	
157  	0.0079928952	0.0000000000	0.0000000000	
158  	0.0088809947	0.0000000000	0.0000000000	
159  	0.0047365305	0.0000000000	0.0000000000	
160  	0.0065127294	0.0000000000	0.0000000000	
161  	0.0074008289	0.0000000000	0.0000000000	
162  	0.0065127294	0.0000000000	0.0000000000	
163  	0.0100651273	0.0000000000	0.0000000000	
164  	0.0097690941	0.0000000000	0.0000000000	
165  	0.0124333925	0.0000000000	0.0000000000	
166  	0.0103611604	0.0000000000	0.0000000000	
167  	0.0127294257	0.0000000000	0.0000000000	
168  	0.0121373594	0.0000000000	0.0000000000	
169  	0.0133214920	0.0000000000	0.0000000000	
170  	0.0109532268	0.0000000000	0.0000000000	
171  	0.0180580225	0.0000000000	0.0000000000	
172  	0.0210183541	0.0000000000	0.0000000000	
173  	0.0245707519	0.0000000000	0.0000000000	
174  	0.0204262877	0.0000000000	0.0000000000	
175  	0.0236826525	0.0000000000	0.0000000000	
176  	0.0189461220	0.0000000000	0.0000000000	
177  	0.0216104204	0.0000000000	0.0000000000	
178  	0.0142095915	0.0000000000	0.0000000000	
179  	0.0100651273	0.0000000000	0.0000000000	
180  	0.0100651273	0.0000000000	0.0000000000	
181  	0.0106571936	0.0000000000	0.0000000000	
182  	0.0159857904	0.0000000000	0.0000000000	
183  	0.0207223209	0.0000000000	0.0000000000	
184  	0.0195381883	0.0000000000	0.0000000000	
185  	0.0156897573	0.0000000000	0.0000000000	
186  	0.0210183541	0.0000000000	0.0000000000	
187  	0.0216104204	0.0000000000	0.0000000000	
188  	0.0183540557	0.0000000000	0.0000000000	
189  	0.0165778567	0.0000000000	0.0000000000	
190  	0.0115452931	0.0000000000	0.0000000000	
191  	0.0153937241	0.0000000000	0.0000000000	
192  	0.0121373594	0.0000000000	0.0000000000	
193  	0.0082889284	0.0000000000	0.0000000000	
