@RELATION fundus

@ATTRIBUTE BLUE_AVG1 REAL
@ATTRIBUTE class {h,¬h}

@DATA
0.0248238186,¬h
0.0248071346,¬h
0.0240613027,h
0.0246305419,¬h
0.0249109540,¬h
0.0249286812,¬h
0.0249492076,¬h
0.0223738673,h
0.0255793026,h
0.0245545837,¬h
0.0252892746,¬h
0.0235224459,h
0.0230005516,h
0.0076168807,¬h
0.0245005654,¬h
0.0248223850,¬h
0.0248351648,¬h
0.0250165599,¬h
0.0239498895,¬h
0.0205086580,¬h
0.0246294185,h
0.0250593627,h
0.0251963241,h
0.0247501922,h
0.0245067385,¬h
0.0186893457,¬h
0.0248275862,¬h
0.0252978510,¬h
0.0249807840,h
0.0249738710,¬h
0.0159417929,¬h
0.0245098569,h
0.0246629183,¬h
0.0248347446,¬h
0.0243521097,¬h
0.0245196003,¬h
0.0249724851,h
0.0243962649,¬h
0.0251827243,¬h
0.0253844003,¬h
0.0259470561,¬h
0.0241873959,h
0.0262745780,h
0.0244002593,¬h
0.0256184841,h
